physical_time, physical_step, observer_0_pressure, observer_1_pressure, observer_2_pressure, observer_3_pressure, observer_4_pressure, observer_5_pressure, observer_6_pressure, observer_7_pressure, observer_8_pressure, observer_9_pressure, observer_10_pressure, observer_11_pressure, observer_12_pressure, observer_13_pressure, observer_14_pressure, observer_15_pressure, observer_16_pressure, observer_17_pressure, observer_18_pressure, observer_19_pressure, observer_20_pressure
41.07622,3998,-0.0000004454229,-0.0000004218606,-0.0000003613951,-0.0000002817566,-0.0000002205702,-0.000000176826,-0.0000001604779,-0.0000001466447,-0.0000001569164,-0.0000001680373,-0.0000001728808,-0.0000001947737,-0.0000001918347,-0.0000001983204,-0.0000001897481,-0.0000001629553,-0.0000001147077,-0.00000005146105,0.00000005718025,0.0000001608632,0.0000002471739
41.08331,3999,-0.0000004326228,-0.0000003434961,-0.0000002512749,-0.0000001858443,-0.0000001439329,-0.0000001202522,-0.0000001109373,-0.0000001194203,-0.0000001327492,-0.0000001459674,-0.0000001737481,-0.0000001826288,-0.000000207261,-0.0000002196218,-0.0000002171605,-0.0000002026692,-0.0000001810166,-0.000000126743,-0.00000004287529,0.0000000675305,0.0000001980065
41.0904,4000,-0.0000003529601,-0.0000002313721,-0.0000001431237,-0.00000009886226,-0.00000007764095,-0.00000007367673,-0.00000007524946,-0.00000009381164,-0.0000001102447,-0.0000001411274,-0.0000001596931,-0.0000001895296,-0.0000002099375,-0.0000002164239,-0.0000002333607,-0.0000002362101,-0.0000002251264,-0.0000001927022,-0.0000001400609,-0.00000003728348,0.0000001084666
41.09749,4001,-0.0000002360059,-0.0000001319529,-0.00000006579804,-0.00000003325414,-0.00000002168201,-0.0000000345921,-0.00000004962135,-0.00000006651393,-0.00000009751684,-0.0000001225666,-0.0000001605886,-0.0000001769228,-0.0000002113134,-0.0000002317998,-0.0000002456161,-0.0000002668736,-0.0000002558829,-0.0000002475622,-0.0000002009473,-0.0000001251443,0.000000003574199
41.10458,4002,-0.0000001104369,-0.00000005081924,-0.000000007816505,0.0000000107324,0.000000009949281,0.000000008797633,-0.00000002420033,-0.00000004936608,-0.00000007619563,-0.0000001174021,-0.0000001500798,-0.0000001756961,-0.0000002125477,-0.0000002382014,-0.0000002722633,-0.000000278324,-0.0000002901646,-0.0000002724301,-0.0000002412801,-0.0000001786529,-0.0000001043314
41.11167,4003,-0.000000005995171,0.00000002013493,0.00000003671584,0.00000004719062,0.00000003768263,0.00000002008941,-0.000000001948004,-0.0000000435442,-0.00000007326113,-0.0000001108298,-0.0000001463217,-0.000000180851,-0.000000223794,-0.000000243191,-0.0000002749454,-0.000000283085,-0.0000003052325,-0.0000002967152,-0.000000260221,-0.0000002331086,-0.0000001862476
41.11876,4004,0.00000007952052,0.00000009388182,0.00000008869889,0.00000007596625,0.00000006150887,0.00000003151138,-7.34124E-10,-0.00000003503459,-0.00000007284596,-0.0000001146698,-0.0000001482115,-0.0000001766687,-0.0000002149923,-0.0000002406148,-0.0000002601329,-0.000000284282,-0.0000003020913,-0.0000003073336,-0.0000003013691,-0.000000286618,-0.0000002665151
41.12585,4005,0.0000001599016,0.0000001551292,0.0000001266777,0.00000009724095,0.00000006591724,0.00000003445663,0.00000000329049,-0.00000003754197,-0.00000006813274,-0.0000001109501,-0.0000001505011,-0.0000001792169,-0.0000002153645,-0.0000002421053,-0.000000258241,-0.0000002885392,-0.0000002968544,-0.0000003131228,-0.0000003363036,-0.0000003390422,-0.0000003347727
41.13294,4006,0.000000226604,0.0000001986122,0.0000001607869,0.0000001221603,0.00000007474163,0.00000004739956,0.000000005058723,-0.00000002868045,-0.00000006200695,-0.0000001024868,-0.0000001419596,-0.0000001763242,-0.0000002100855,-0.0000002342865,-0.0000002638189,-0.0000002885737,-0.0000003062433,-0.0000003332675,-0.0000003556795,-0.0000003831255,-0.0000003855865
41.14003,4007,0.0000002643624,0.0000002268206,0.0000001847261,0.0000001492929,0.00000009791726,0.00000005903578,0.00000002032555,-0.00000002119935,-0.00000005925362,-0.00000009732144,-0.0000001425513,-0.0000001762743,-0.0000002145354,-0.0000002393472,-0.0000002652602,-0.0000002976696,-0.0000003248522,-0.0000003570367,-0.0000003778989,-0.0000004019202,-0.0000004203487
41.14712,4008,0.0000002873817,0.0000002444787,0.000000205886,0.0000001703996,0.0000001297814,0.00000008072251,0.00000003769722,-0.00000001076126,-0.0000000505787,-0.00000009167891,-0.0000001390151,-0.0000001809695,-0.0000002219536,-0.0000002522931,-0.0000002837885,-0.0000003225957,-0.0000003625483,-0.0000003770647,-0.000000397749,-0.0000004293165,-0.0000004481268
41.15421,4009,0.0000003074974,0.0000002727007,0.0000002393768,0.0000001974974,0.00000015133,0.0000001054732,0.00000005150628,0.000000009462936,-0.00000005017163,-0.00000009373817,-0.0000001507707,-0.0000001804806,-0.0000002288874,-0.0000002736434,-0.0000003140453,-0.0000003433405,-0.0000003830679,-0.0000004088639,-0.0000004296642,-0.0000004451147,-0.0000004667049
41.1613,4010,0.0000003372361,0.0000003001805,0.0000002617151,0.0000002195007,0.0000001702295,0.0000001212331,0.00000006810409,0.00000001539177,-0.00000003610005,-0.00000009273723,-0.0000001464967,-0.0000001922317,-0.000000238895,-0.0000002927251,-0.0000003289647,-0.0000003666016,-0.000000407697,-0.0000004283882,-0.0000004594943,-0.0000004856477,-0.0000005043564
41.16839,4011,0.0000003810257,0.0000003370446,0.0000002980832,0.0000002420041,0.0000001899673,0.0000001402929,0.00000008472764,0.00000003021861,-0.00000002992377,-0.00000008368772,-0.0000001458513,-0.0000001979695,-0.0000002564855,-0.0000003065061,-0.0000003450235,-0.0000003917189,-0.0000004287565,-0.0000004592588,-0.0000004950272,-0.0000005119663,-0.0000005344858
41.17548,4012,0.0000004009327,0.0000003663997,0.0000003209269,0.0000002699109,0.000000209523,0.0000001572233,0.00000009300402,0.00000003368659,-0.00000002870141,-0.00000008984241,-0.0000001539973,-0.0000002090722,-0.0000002695452,-0.0000003111971,-0.0000003708383,-0.0000004062149,-0.0000004558405,-0.0000005030869,-0.0000005279069,-0.0000005481903,-0.0000005627952
41.18257,4013,0.0000004320785,0.0000003938542,0.0000003480412,0.0000002936616,0.0000002301608,0.0000001691058,0.0000001073575,0.00000003921842,-0.00000002931082,-0.00000009383643,-0.0000001563685,-0.0000002137231,-0.000000272214,-0.0000003356934,-0.0000003826595,-0.0000004397241,-0.000000488686,-0.0000005266761,-0.0000005539297,-0.0000005766529,-0.0000005897774
41.18966,4014,0.0000004520375,0.0000004163172,0.0000003743087,0.0000003150688,0.0000002530782,0.0000001832416,0.0000001127941,0.00000003822716,-0.00000002998574,-0.00000009859774,-0.0000001710936,-0.0000002264272,-0.0000002831769,-0.0000003393423,-0.0000004010093,-0.0000004545444,-0.0000005026708,-0.0000005500099,-0.0000005823447,-0.0000006007069,-0.0000006090203
41.19675,4015,0.0000004644367,0.0000004342042,0.0000003847435,0.0000003272453,0.0000002511568,0.0000001812758,0.0000001082407,0.00000003167709,-0.00000003249861,-0.0000001020377,-0.0000001659398,-0.0000002354445,-0.0000002938783,-0.000000359871,-0.0000004164785,-0.0000004710774,-0.0000005162225,-0.0000005621571,-0.0000006047626,-0.0000006196937,-0.0000006199891
41.20384,4016,0.000000473208,0.0000004429366,0.0000003802281,0.0000003153506,0.0000002424377,0.0000001720048,0.0000001003363,0.000000029324,-0.00000003844735,-0.0000001051678,-0.0000001730259,-0.0000002393181,-0.0000003017068,-0.0000003584086,-0.0000004164457,-0.000000476664,-0.0000005193644,-0.0000005643419,-0.0000006061265,-0.000000622703,-0.0000006339832
41.21092,4017,0.0000004715534,0.0000004188827,0.000000362227,0.000000300638,0.0000002312279,0.0000001691703,0.00000009849088,0.00000003460229,-0.00000004160951,-0.0000001109309,-0.0000001829689,-0.0000002443546,-0.0000003043928,-0.0000003729009,-0.0000004213009,-0.0000004788539,-0.0000005215446,-0.0000005564788,-0.0000005904241,-0.0000006127141,-0.0000006332014
41.21801,4018,0.0000004416223,0.0000003949211,0.0000003410789,0.0000002917945,0.0000002287772,0.0000001649369,0.00000009994488,0.00000002944513,-0.00000003771141,-0.0000001148132,-0.000000182175,-0.0000002529159,-0.0000003166887,-0.0000003684334,-0.0000004329842,-0.0000004778864,-0.000000515871,-0.0000005485085,-0.0000005733625,-0.00000059528,-0.0000006107527
41.2251,4019,0.0000004083409,0.0000003734625,0.0000003351257,0.0000002841907,0.000000230444,0.0000001618303,0.00000009476899,0.00000002719497,-0.00000004206664,-0.0000001120491,-0.0000001830176,-0.0000002510991,-0.000000314788,-0.0000003729133,-0.0000004268758,-0.0000004706123,-0.0000005159295,-0.0000005432274,-0.0000005659903,-0.0000005723402,-0.0000005766587
41.23219,4020,0.0000003819088,0.000000356405,0.0000003220933,0.0000002758353,0.0000002116145,0.0000001561584,0.00000008731941,0.00000002465368,-0.00000004967454,-0.000000112797,-0.0000001815409,-0.0000002419645,-0.0000003110223,-0.0000003697909,-0.0000004228727,-0.0000004661715,-0.0000005007246,-0.0000005279469,-0.000000544796,-0.0000005493546,-0.0000005450609
41.23928,4021,0.0000003596684,0.0000003347559,0.000000304341,0.0000002570345,0.0000002036177,0.0000001419532,0.00000008455189,0.00000001890388,-0.00000004962369,-0.000000121432,-0.000000183344,-0.000000240393,-0.000000306318,-0.0000003545214,-0.000000413376,-0.0000004468311,-0.0000004810208,-0.0000005134767,-0.0000005139971,-0.0000005185972,-0.0000005091501
41.24637,4022,0.0000003351641,0.0000003193529,0.0000002801697,0.0000002410542,0.0000001936824,0.0000001344856,0.00000007365252,0.00000001001609,-0.000000053551,-0.0000001183921,-0.0000001848206,-0.0000002462383,-0.0000003005219,-0.0000003529958,-0.0000003945767,-0.0000004345859,-0.0000004633526,-0.0000004806401,-0.0000004836645,-0.0000004856765,-0.0000004707971
41.25346,4023,0.0000002996232,0.0000002808636,0.0000002504654,0.0000002118202,0.0000001715936,0.0000001195026,0.00000006318424,0.00000001114177,-0.00000005836644,-0.0000001192952,-0.0000001778212,-0.0000002388238,-0.0000002864411,-0.0000003360736,-0.0000003783046,-0.0000004115417,-0.0000004325637,-0.0000004444669,-0.0000004451001,-0.0000004449832,-0.0000004189162
41.26055,4024,0.0000002711783,0.0000002541333,0.0000002311071,0.0000001948215,0.0000001553704,0.0000001127277,0.00000006782397,0.00000000818117,-0.00000005315255,-0.0000001027862,-0.0000001616992,-0.0000002224564,-0.0000002697569,-0.0000003127026,-0.000000360233,-0.0000003851227,-0.0000003994104,-0.0000004063922,-0.0000004029372,-0.0000003901889,-0.0000003723285
41.26764,4025,0.0000002471296,0.0000002289585,0.0000002100268,0.0000001777436,0.0000001497568,0.00000011705,0.000000072258,0.00000002270969,-0.00000003435153,-0.00000009405764,-0.0000001423718,-0.0000001960141,-0.0000002446289,-0.0000002925229,-0.0000003231243,-0.000000346617,-0.0000003563673,-0.0000003666281,-0.0000003590769,-0.0000003443942,-0.0000003304669
41.27473,4026,0.0000002379065,0.0000002194856,0.0000001988507,0.0000001812487,0.0000001523937,0.0000001167837,0.00000007542101,0.00000002981836,-0.00000002365684,-0.00000007451527,-0.0000001290977,-0.0000001747883,-0.0000002194609,-0.0000002497835,-0.0000002936773,-0.0000003131348,-0.0000003226453,-0.0000003205922,-0.0000003197582,-0.0000003038696,-0.0000002999908
41.28182,4027,0.0000002513301,0.0000002278302,0.0000002034642,0.0000001856166,0.0000001560329,0.0000001180052,0.00000007829654,0.00000003212174,-0.00000001572421,-0.00000006080869,-0.0000001045058,-0.0000001548207,-0.0000001943982,-0.0000002277437,-0.0000002547291,-0.0000002750148,-0.0000002878313,-0.0000002868942,-0.000000285041,-0.0000002800095,-0.0000002845397
41.28891,4028,0.0000002846417,0.0000002544135,0.0000002236066,0.0000001924967,0.0000001569531,0.000000120793,0.00000007862217,0.00000003363234,-0.000000003475828,-0.00000004601578,-0.00000009302287,-0.0000001352997,-0.00000016898,-0.0000002006487,-0.0000002178277,-0.000000239588,-0.0000002486213,-0.0000002584067,-0.0000002640396,-0.0000002754022,-0.00000028495
41.296,4029,0.0000003352461,0.0000002854905,0.0000002402281,0.0000002020813,0.0000001599476,0.000000124534,0.00000008224745,0.0000000436003,-0.000000001157724,-0.00000004011437,-0.000000079657,-0.0000001152078,-0.0000001391485,-0.000000170594,-0.0000001915706,-0.0000002094622,-0.0000002242555,-0.0000002453795,-0.0000002611714,-0.0000002893062,-0.0000003224183
